4115,33.7168502,-117.8313858,3241.5,98.39,10,212
4117,33.7168502,-117.8313858,3241.5,99.5,10,212
4118,33.7168502,-117.8313858,3241.5,100.62,10,212
4120,33.7168502,-117.8313858,3211.5,101.72,10,212
4121,33.7168502,-117.8313858,3206.75,102.84,21,212
4123,33.7168502,-117.8313858,2434.0,103.94,21,212
4124,33.7168502,-117.8313858,2434.0,399.14,17,212
4127,33.7168502,-117.8313858,3720.75,245.16,41,212
4129,33.7168502,-117.8313858,2368.25,389.17,18,212
4131,33.7168502,-117.8313858,14694.5,305.81,25,212
4133,33.7168502,-117.8313858,3465.75,379.2,35,212
4134,33.7168502,-117.8313858,10099.25,100.31,42,212
4136,33.7168502,-117.8313858,3475.75,318.88,21,212
4139,33.7168502,-117.8313858,15046.25,395.25,17,212
4141,33.7168502,-117.8313858,3836.5,332.97,20,212
4143,33.7168502,-117.8313858,4286.0,336.22,24,212
4145,33.7168502,-117.8313858,10862.75,157.3,12,212
4147,33.7168502,-117.8313858,5339.5,342.55,17,212
4152,33.7168502,-117.8313858,15053.5,53.66,44,212
4156,33.7168502,-117.8313858,4454.5,12.33,10,212
4158,33.7168502,-117.8313858,0.0,23.41,16,212
4164,33.7168502,-117.8313858,2004.5,32.94,18,212
4168,33.7168502,-117.8313858,1034.0,42.86,27,212
4169,33.7168502,-117.8313858,1031.0,43.92,31,212
4171,33.7168502,-117.8313858,1052.0,44.98,15,212
4175,33.7168502,-117.8313858,4240.0,52.75,17,212
4177,33.7168502,-117.8313858,4751.25,56.22,33,212
4179,33.7168502,-117.8313858,49.75,140.45,60,212
4183,33.7168502,-117.8313858,2667.75,68.45,12,212
4185,33.7168502,-117.8313858,12616.75,69.55,15,212
4186,33.7168502,-117.8313858,3151.75,72.75,11,212
4188,33.7168502,-117.8313858,2688.0,0.31,10,212
4190,33.7168502,-117.8313858,3308.0,80.44,36,212
4192,33.7168502,-117.8313858,3242.0,84.86,18,212
4194,33.7168502,-117.8313858,3241.5,89.09,10,212
